datetime,open,high,low,close,volume
2010-10-20,0.971,0.98887,0.96619,0.98613,0
2010-10-21,0.98611,0.98903,0.97416,0.9787600000000000,0
2010-10-22,0.9787600000000000,0.9853200000000000,0.9757600000000000,0.9825,0
2010-10-25,0.9846800000000000,0.9973300000000000,0.9823,0.98998,0
2010-10-26,0.98992,0.99259,0.98134,0.98613,0
2010-10-27,0.9860700000000000,0.98634,0.96511,0.97241,0
2010-10-28,0.97241,0.9818900000000000,0.9718900000000000,0.97816,0
2010-10-29,0.97819,0.98372,0.96783,0.98339,0
2010-11-01,0.98488,0.99136,0.98141,0.98736,0
2010-11-02,0.98736,1.00224,0.9864800000000000,0.9991400000000000,0
2010-11-03,0.9991200000000000,1.00633,0.9896800000000000,1.00429,0
2010-11-04,1.00426,1.01745,1.00195,1.01474,0
2010-11-05,1.0147700000000000,1.0181800000000000,1.00851,1.01555,0
2010-11-08,1.01436,1.01645,1.0079,1.01189,0
2010-11-09,1.01189,1.01729,0.9998100000000000,1.00216,0
2010-11-10,1.00224,1.00714,0.9974800000000000,1.00284,0
2010-11-11,1.00281,1.00885,0.99554,0.9969400000000000,0
2010-11-12,0.9969900000000000,1.00021,0.98249,0.9844800000000000,0
2010-11-15,0.98692,0.9919,0.9812200000000000,0.98469,0
2010-11-16,0.98465,0.98921,0.9724200000000000,0.9757900000000000,0
2010-11-17,0.97585,0.9833200000000000,0.97255,0.98065,0
2010-11-18,0.9806600000000000,0.9904300000000000,0.9795200000000000,0.9898,0
2010-11-19,0.9897600000000000,0.9910400000000000,0.9815,0.9863200000000000,0
2010-11-22,0.9886300000000000,0.99534,0.9823,0.98777,0
2010-11-23,0.9878,0.98805,0.9707600000000000,0.97306,0
2010-11-24,0.97306,0.98513,0.97301,0.98226,0
2010-11-25,0.98226,0.9848900000000000,0.97605,0.97877,0
2010-11-26,0.9787400000000000,0.9789,0.96119,0.9642700000000000,0
2010-11-29,0.9671800000000000,0.96986,0.9566,0.9616400000000000,0
2010-11-30,0.96168,0.9658900000000000,0.95439,0.95867,0
2010-12-01,0.9586900000000000,0.9696800000000000,0.95368,0.9667,0
2010-12-02,0.9667,0.97777,0.9622300000000000,0.9764800000000000,0
2010-12-03,0.9764800000000000,0.99361,0.97383,0.99292,0
2010-12-06,0.9918600000000000,0.99256,0.9849100000000000,0.98939,0
